FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall
13059,GA,"Clarke County, Georgia",21.90%,"25,400",130%,SNAP,185%,Other Nutrition Program,72.40%,9.30%,18.40%,28.30%,5800,72%,28%,$2.84 ,"$11,760,150.00 "
13061,GA,"Clay County, Georgia",26.50%,850,130%,SNAP,185%,Other Nutrition Program,83.40%,16.60%,0.00%,32.70%,310,65%,35%,$2.86 ,"$396,320.00 "
13063,GA,"Clayton County, Georgia",24.00%,"62,650",130%,SNAP,185%,Other Nutrition Program,49.30%,26.10%,24.60%,23.90%,18300,70%,30%,$2.36 ,"$24,104,260.00 "
13065,GA,"Clinch County, Georgia",21.20%,"1,450",130%,SNAP,185%,Other Nutrition Program,64.90%,18.80%,16.30%,30.60%,550,81%,19%,$2.64 ,"$624,070.00 "
13067,GA,"Cobb County, Georgia",14.80%,"101,590",130%,SNAP,185%,Other Nutrition Program,39.50%,15.00%,45.50%,22.30%,39360,57%,44%,$2.73 ,"$45,214,150.00 "
13069,GA,"Coffee County, Georgia",21.30%,"8,970",130%,SNAP,185%,Other Nutrition Program,56.20%,23.90%,19.90%,33.10%,3670,87%,13%,$2.51 ,"$3,670,510.00 "
13071,GA,"Colquitt County, Georgia",18.50%,"8,340",130%,SNAP,185%,Other Nutrition Program,69.30%,14.90%,15.80%,30.70%,3830,74%,26%,$2.57 ,"$3,494,300.00 "
13073,GA,"Columbia County, Georgia",10.80%,"13,130",130%,SNAP,185%,Other Nutrition Program,35.60%,18.10%,46.30%,19.60%,6500,53%,48%,$2.88 ,"$6,164,790.00 "
13075,GA,"Cook County, Georgia",20.10%,"3,440",130%,SNAP,185%,Other Nutrition Program,58.90%,20.00%,21.10%,31.60%,1470,78%,22%,$2.67 ,"$1,497,370.00 "
13077,GA,"Coweta County, Georgia",13.50%,"16,840",130%,SNAP,185%,Other Nutrition Program,40.40%,17.40%,42.20%,23.70%,8090,60%,40%,$2.78 ,"$7,632,160.00 "
13079,GA,"Crawford County, Georgia",17.10%,"2,170",130%,SNAP,185%,Other Nutrition Program,58.50%,20.50%,21.00%,31.80%,940,76%,24%,$2.67 ,"$944,560.00 "
13081,GA,"Crisp County, Georgia",24.80%,"5,800",130%,SNAP,185%,Other Nutrition Program,63.80%,21.80%,14.40%,33.90%,2090,77%,23%,$2.65 ,"$2,505,730.00 "
13083,GA,"Dade County, Georgia",12.10%,"2,020",130%,SNAP,185%,Other Nutrition Program,56.90%,15.20%,27.90%,29.50%,1080,76%,24%,$2.64 ,"$869,390.00 "
13085,GA,"Dawson County, Georgia",11.80%,"2,620",130%,SNAP,185%,Other Nutrition Program,50.20%,27.50%,22.20%,26.80%,1350,86%,14%,$2.78 ,"$1,187,430.00 "
13087,GA,"Decatur County, Georgia",23.70%,"6,600",130%,SNAP,185%,Other Nutrition Program,63.60%,18.50%,17.90%,31.30%,2250,73%,28%,$2.82 ,"$3,034,270.00 "
13089,GA,"DeKalb County, Georgia",21.50%,"148,110",130%,SNAP,185%,Other Nutrition Program,46.30%,20.20%,33.50%,22.90%,38140,64%,36%,$2.69 ,"$64,952,730.00 "
13091,GA,"Dodge County, Georgia",19.70%,"4,260",130%,SNAP,185%,Other Nutrition Program,57.80%,23.20%,19.00%,28.40%,1440,84%,16%,$2.62 ,"$1,819,580.00 "
13093,GA,"Dooly County, Georgia",25.10%,"3,630",130%,SNAP,185%,Other Nutrition Program,53.20%,22.40%,24.40%,32.70%,1040,80%,20%,$2.70 ,"$1,597,830.00 "
13095,GA,"Dougherty County, Georgia",27.50%,"26,070",130%,SNAP,185%,Other Nutrition Program,65.20%,25.10%,9.70%,28.30%,6940,70%,30%,$2.73 ,"$11,602,840.00 "
13097,GA,"Douglas County, Georgia",17.30%,"22,580",130%,SNAP,185%,Other Nutrition Program,42.30%,19.20%,38.50%,21.50%,7970,64%,36%,$2.57 ,"$9,460,580.00 "
13099,GA,"Early County, Georgia",22.90%,"2,550",130%,SNAP,185%,Other Nutrition Program,65.10%,25.40%,9.50%,29.40%,870,68%,32%,$2.84 ,"$1,180,640.00 "
13101,GA,"Echols County, Georgia",17.00%,680,130%,SNAP,185%,Other Nutrition Program,89.90%,10.10%,0.00%,38.10%,430,85%,16%,$2.71 ,"$300,430.00 "
13103,GA,"Effingham County, Georgia",12.70%,"6,530",130%,SNAP,185%,Other Nutrition Program,40.40%,25.20%,34.40%,23.00%,3390,66%,34%,$2.61 ,"$2,778,530.00 "
13105,GA,"Elbert County, Georgia",21.30%,"4,320",130%,SNAP,185%,Other Nutrition Program,57.50%,29.10%,13.40%,33.10%,1580,88%,12%,$2.63 ,"$1,852,250.00 "
13107,GA,"Emanuel County, Georgia",21.10%,"4,730",130%,SNAP,185%,Other Nutrition Program,64.90%,26.70%,8.40%,30.30%,1700,85%,15%,$2.45 ,"$1,889,240.00 "
13109,GA,"Evans County, Georgia",18.10%,"1,990",130%,SNAP,185%,Other Nutrition Program,58.30%,17.90%,23.80%,28.20%,810,78%,22%,$2.63 ,"$853,240.00 "
13111,GA,"Fannin County, Georgia",13.80%,"3,250",130%,SNAP,185%,Other Nutrition Program,60.80%,26.00%,13.30%,32.00%,1420,84%,16%,$3.01 ,"$1,594,820.00 "
13113,GA,"Fayette County, Georgia",11.00%,"11,660",130%,SNAP,185%,Other Nutrition Program,26.00%,15.90%,58.10%,19.00%,5330,45%,55%,$2.85 ,"$5,417,570.00 "
13115,GA,"Floyd County, Georgia",17.00%,"16,280",130%,SNAP,185%,Other Nutrition Program,55.40%,16.90%,27.70%,30.00%,7010,74%,26%,$2.60 ,"$6,900,630.00 "
13117,GA,"Forsyth County, Georgia",8.40%,"14,340",130%,SNAP,185%,Other Nutrition Program,35.60%,10.60%,53.70%,20.60%,10640,39%,61%,$3.07 ,"$7,177,090.00 "
13119,GA,"Franklin County, Georgia",16.50%,"3,640",130%,SNAP,185%,Other Nutrition Program,62.10%,20.40%,17.50%,30.90%,1550,78%,22%,$2.84 ,"$1,685,310.00 "
13121,GA,"Fulton County, Georgia",20.70%,"187,590",130%,SNAP,185%,Other Nutrition Program,44.00%,15.90%,40.10%,23.30%,50680,61%,39%,$3.00 ,"$91,746,970.00 "
13123,GA,"Gilmer County, Georgia",15.20%,"4,290",130%,SNAP,185%,Other Nutrition Program,71.00%,12.80%,16.20%,34.00%,2110,81%,19%,$2.64 ,"$1,846,380.00 "
13125,GA,"Glascock County, Georgia",17.50%,530,130%,SNAP,185%,Other Nutrition Program,59.70%,13.90%,26.40%,32.40%,260,69%,31%,$2.55 ,"$220,330.00 "
13127,GA,"Glynn County, Georgia",17.80%,"14,000",130%,SNAP,185%,Other Nutrition Program,49.30%,16.70%,34.10%,27.20%,5190,70%,31%,$3.02 ,"$6,892,800.00 "
13129,GA,"Gordon County, Georgia",15.80%,"8,660",130%,SNAP,185%,Other Nutrition Program,61.30%,17.10%,21.60%,32.20%,4780,79%,21%,$2.60 ,"$3,670,730.00 "
13131,GA,"Grady County, Georgia",19.20%,"4,780",130%,SNAP,185%,Other Nutrition Program,73.00%,16.40%,10.60%,29.90%,1940,75%,25%,$2.54 ,"$1,979,350.00 "
13133,GA,"Greene County, Georgia",19.60%,"3,130",130%,SNAP,185%,Other Nutrition Program,59.90%,26.70%,13.40%,27.50%,880,78%,22%,$2.81 ,"$1,433,880.00 "
13135,GA,"Gwinnett County, Georgia",14.10%,"112,180",130%,SNAP,185%,Other Nutrition Program,45.90%,16.50%,37.60%,23.50%,54420,63%,37%,$2.60 ,"$47,549,890.00 "
13137,GA,"Habersham County, Georgia",14.10%,"6,010",130%,SNAP,185%,Other Nutrition Program,59.00%,16.60%,24.40%,32.20%,3280,83%,17%,$2.80 ,"$2,743,430.00 "
13139,GA,"Hall County, Georgia",12.70%,"22,690",130%,SNAP,185%,Other Nutrition Program,61.20%,14.50%,24.30%,28.70%,14280,76%,24%,$2.67 ,"$9,876,580.00 "
13141,GA,"Hancock County, Georgia",30.00%,"2,890",130%,SNAP,185%,Other Nutrition Program,54.70%,31.80%,13.50%,27.90%,510,94%,6%,$2.69 ,"$1,267,390.00 "
13143,GA,"Haralson County, Georgia",15.50%,"4,440",130%,SNAP,185%,Other Nutrition Program,64.80%,15.80%,19.40%,30.20%,2200,82%,18%,$2.58 ,"$1,867,510.00 "
13145,GA,"Harris County, Georgia",10.20%,"3,210",130%,SNAP,185%,Other Nutrition Program,34.10%,21.00%,44.90%,19.20%,1450,52%,49%,$3.11 ,"$1,627,520.00 "
13147,GA,"Hart County, Georgia",17.40%,"4,370",130%,SNAP,185%,Other Nutrition Program,53.20%,20.40%,26.40%,28.30%,1610,73%,27%,$2.75 ,"$1,959,180.00 "
13149,GA,"Heard County, Georgia",17.40%,"2,040",130%,SNAP,185%,Other Nutrition Program,65.30%,8.10%,26.60%,34.80%,1060,75%,25%,$2.71 ,"$901,280.00 "
13151,GA,"Henry County, Georgia",15.30%,"30,500",130%,SNAP,185%,Other Nutrition Program,33.60%,16.50%,49.80%,20.40%,11890,53%,47%,$2.57 ,"$12,778,910.00 "
13153,GA,"Houston County, Georgia",15.20%,"20,930",130%,SNAP,185%,Other Nutrition Program,43.60%,16.20%,40.10%,22.50%,8330,62%,38%,$2.72 ,"$9,281,090.00 "
13155,GA,"Irwin County, Georgia",19.20%,"1,850",130%,SNAP,185%,Other Nutrition Program,53.40%,20.70%,25.90%,29.60%,700,76%,24%,$2.58 ,"$778,130.00 "
13157,GA,"Jackson County, Georgia",13.50%,"8,040",130%,SNAP,185%,Other Nutrition Program,49.90%,15.50%,34.60%,27.00%,4210,63%,37%,$2.86 ,"$3,748,720.00 "
13159,GA,"Jasper County, Georgia",17.00%,"2,350",130%,SNAP,185%,Other Nutrition Program,62.40%,11.30%,26.40%,27.60%,960,73%,27%,$2.60 ,"$996,100.00 "
13161,GA,"Jeff Davis County, Georgia",19.80%,"2,930",130%,SNAP,185%,Other Nutrition Program,60.40%,13.70%,25.90%,34.80%,1420,73%,27%,$2.50 ,"$1,194,180.00 "
13163,GA,"Jefferson County, Georgia",25.10%,"4,230",130%,SNAP,185%,Other Nutrition Program,64.60%,22.90%,12.50%,30.40%,1340,75%,25%,$2.59 ,"$1,786,080.00 "
13165,GA,"Jenkins County, Georgia",25.90%,"2,150",130%,SNAP,185%,Other Nutrition Program,72.20%,25.20%,2.60%,38.60%,890,89%,11%,$2.60 ,"$911,320.00 "
13167,GA,"Johnson County, Georgia",21.70%,"2,180",130%,SNAP,185%,Other Nutrition Program,50.80%,20.60%,28.60%,30.00%,650,76%,24%,$2.57 ,"$913,380.00 "
13169,GA,"Jones County, Georgia",14.80%,"4,220",130%,SNAP,185%,Other Nutrition Program,45.30%,22.00%,32.70%,22.90%,1720,69%,31%,$2.70 ,"$1,857,530.00 "
13171,GA,"Lamar County, Georgia",20.00%,"3,620",130%,SNAP,185%,Other Nutrition Program,56.00%,17.90%,26.10%,28.80%,1140,76%,24%,$2.68 ,"$1,581,630.00 "
13173,GA,"Lanier County, Georgia",17.40%,"1,700",130%,SNAP,185%,Other Nutrition Program,57.80%,24.30%,17.90%,28.80%,800,78%,22%,$2.69 ,"$745,520.00 "
13175,GA,"Laurens County, Georgia",21.20%,"10,210",130%,SNAP,185%,Other Nutrition Program,57.90%,24.30%,17.80%,29.00%,3610,81%,19%,$2.63 ,"$4,377,660.00 "
13177,GA,"Lee County, Georgia",13.00%,"3,680",130%,SNAP,185%,Other Nutrition Program,41.30%,18.70%,40.00%,22.20%,1760,61%,39%,$2.89 ,"$1,733,830.00 "
13179,GA,"Liberty County, Georgia",20.60%,"13,250",130%,SNAP,185%,Other Nutrition Program,52.70%,26.50%,20.80%,26.10%,5080,79%,21%,$2.51 ,"$5,421,890.00 "
13181,GA,"Lincoln County, Georgia",19.00%,"1,530",130%,SNAP,185%,Other Nutrition Program,65.50%,13.40%,21.20%,30.40%,520,83%,18%,$2.79 ,"$695,920.00 "
13183,GA,"Long County, Georgia",16.90%,"2,330",130%,SNAP,185%,Other Nutrition Program,63.60%,29.20%,7.20%,28.30%,1170,80%,20%,$2.50 ,"$949,630.00 "
13185,GA,"Lowndes County, Georgia",20.20%,"21,680",130%,SNAP,185%,Other Nutrition Program,58.70%,24.10%,17.30%,26.30%,6930,77%,23%,$2.73 ,"$9,649,010.00 "
13187,GA,"Lumpkin County, Georgia",14.40%,"4,230",130%,SNAP,185%,Other Nutrition Program,51.50%,18.00%,30.40%,29.00%,1780,64%,36%,$2.80 ,"$1,930,900.00 "
13189,GA,"McDuffie County, Georgia",20.50%,"4,470",130%,SNAP,185%,Other Nutrition Program,55.30%,31.50%,13.20%,27.50%,1580,79%,21%,$2.52 ,"$1,836,410.00 "
13191,GA,"McIntosh County, Georgia",17.60%,"2,480",130%,SNAP,185%,Other Nutrition Program,55.70%,28.90%,15.50%,22.60%,700,89%,11%,$2.75 ,"$1,111,850.00 "
13193,GA,"Macon County, Georgia",26.40%,"3,850",130%,SNAP,185%,Other Nutrition Program,55.70%,26.50%,17.80%,30.00%,1020,84%,16%,$2.70 ,"$1,694,670.00 "
13195,GA,"Madison County, Georgia",13.50%,"3,780",130%,SNAP,185%,Other Nutrition Program,62.70%,21.40%,16.00%,27.20%,1890,91%,10%,$2.68 ,"$1,651,530.00 "
13197,GA,"Marion County, Georgia",17.70%,"1,510",130%,SNAP,185%,Other Nutrition Program,63.30%,22.80%,13.90%,27.00%,570,85%,16%,$2.50 ,"$615,430.00 "
13199,GA,"Meriwether County, Georgia",21.20%,"4,700",130%,SNAP,185%,Other Nutrition Program,50.40%,31.80%,17.80%,28.00%,1490,77%,23%,$2.74 ,"$2,099,470.00 "
13201,GA,"Miller County, Georgia",15.80%,970,130%,SNAP,185%,Other Nutrition Program,71.40%,18.90%,9.70%,23.90%,350,86%,14%,$2.80 ,"$442,780.00 "
13205,GA,"Mitchell County, Georgia",21.50%,"5,100",130%,SNAP,185%,Other Nutrition Program,60.20%,26.30%,13.50%,26.50%,1570,89%,11%,$2.76 ,"$2,294,770.00 "
13207,GA,"Monroe County, Georgia",14.50%,"3,790",130%,SNAP,185%,Other Nutrition Program,48.90%,22.90%,28.20%,23.70%,1420,79%,21%,$2.66 ,"$1,643,550.00 "
13209,GA,"Montgomery County, Georgia",18.80%,"1,720",130%,SNAP,185%,Other Nutrition Program,56.20%,18.40%,25.40%,27.70%,560,82%,18%,$2.49 ,"$698,210.00 "
13211,GA,"Morgan County, Georgia",15.60%,"2,780",130%,SNAP,185%,Other Nutrition Program,55.00%,16.80%,28.10%,23.30%,1010,71%,30%,$2.74 ,"$1,241,810.00 "
13213,GA,"Murray County, Georgia",16.40%,"6,530",130%,SNAP,185%,Other Nutrition Program,67.00%,22.40%,10.60%,33.10%,3570,94%,6%,$2.67 ,"$2,842,400.00 "
13215,GA,"Muscogee County, Georgia",20.90%,"39,340",130%,SNAP,185%,Other Nutrition Program,50.00%,20.50%,29.40%,24.90%,12060,66%,35%,$3.00 ,"$19,240,500.00 "
13217,GA,"Newton County, Georgia",18.20%,"18,010",130%,SNAP,185%,Other Nutrition Program,42.90%,25.70%,31.40%,22.80%,6480,70%,30%,$2.71 ,"$7,956,900.00 "
13219,GA,"Oconee County, Georgia",9.00%,"2,890",130%,SNAP,185%,Other Nutrition Program,38.10%,13.60%,48.20%,20.80%,1910,43%,57%,$2.87 ,"$1,352,200.00 "
13221,GA,"Oglethorpe County, Georgia",13.20%,"1,940",130%,SNAP,185%,Other Nutrition Program,53.20%,21.50%,25.30%,22.00%,790,71%,29%,$2.83 ,"$895,050.00 "
13223,GA,"Paulding County, Georgia",12.60%,"17,560",130%,SNAP,185%,Other Nutrition Program,35.50%,20.10%,44.40%,21.70%,9110,56%,44%,$2.67 ,"$7,643,580.00 "
13225,GA,"Peach County, Georgia",22.40%,"6,120",130%,SNAP,185%,Other Nutrition Program,54.30%,16.00%,29.80%,31.70%,2020,69%,31%,$2.76 ,"$2,753,730.00 "
13227,GA,"Pickens County, Georgia",12.00%,"3,540",130%,SNAP,185%,Other Nutrition Program,50.00%,25.10%,24.90%,26.80%,1770,75%,25%,$2.69 ,"$1,552,450.00 "
13229,GA,"Pierce County, Georgia",15.10%,"2,780",130%,SNAP,185%,Other Nutrition Program,60.10%,18.80%,21.20%,29.00%,1400,79%,21%,$2.48 ,"$1,123,980.00 "
13231,GA,"Pike County, Georgia",12.70%,"2,250",130%,SNAP,185%,Other Nutrition Program,43.50%,15.90%,40.50%,25.60%,1230,55%,45%,$2.68 ,"$983,060.00 "
13233,GA,"Polk County, Georgia",16.60%,"6,830",130%,SNAP,185%,Other Nutrition Program,64.10%,16.10%,19.70%,31.40%,3420,77%,23%,$2.56 ,"$2,850,500.00 "
13235,GA,"Pulaski County, Georgia",16.30%,"1,910",130%,SNAP,185%,Other Nutrition Program,43.10%,29.60%,27.30%,22.70%,510,74%,26%,$2.71 ,"$843,850.00 "
13237,GA,"Putnam County, Georgia",16.40%,"3,460",130%,SNAP,185%,Other Nutrition Program,48.60%,38.90%,12.60%,23.70%,1030,87%,13%,$2.58 ,"$1,455,310.00 "
13239,GA,"Quitman County, Georgia",23.60%,590,130%,SNAP,185%,Other Nutrition Program,69.60%,22.30%,8.00%,27.30%,170,81%,19%,$2.89 ,"$277,980.00 "
13241,GA,"Rabun County, Georgia",16.10%,"2,620",130%,SNAP,185%,Other Nutrition Program,64.30%,18.10%,17.50%,33.40%,1120,81%,19%,$2.76 ,"$1,178,880.00 "
13243,GA,"Randolph County, Georgia",23.90%,"1,840",130%,SNAP,185%,Other Nutrition Program,55.20%,36.40%,8.40%,30.00%,520,69%,31%,$2.85 ,"$854,920.00 "
13245,GA,"Richmond County, Georgia",23.50%,"46,740",130%,SNAP,185%,Other Nutrition Program,55.60%,20.20%,24.20%,27.00%,13360,66%,34%,$2.51 ,"$19,125,960.00 "
13247,GA,"Rockdale County, Georgia",18.50%,"15,640",130%,SNAP,185%,Other Nutrition Program,40.00%,19.00%,41.00%,21.90%,4960,58%,42%,$2.54 ,"$6,476,360.00 "
13249,GA,"Schley County, Georgia",18.70%,910,130%,SNAP,185%,Other Nutrition Program,59.60%,32.10%,8.30%,28.30%,350,94%,6%,$2.71 ,"$402,040.00 "
13251,GA,"Screven County, Georgia",22.10%,"3,250",130%,SNAP,185%,Other Nutrition Program,57.00%,26.10%,16.80%,26.20%,980,80%,20%,$2.63 ,"$1,393,480.00 "
13253,GA,"Seminole County, Georgia",19.40%,"1,700",130%,SNAP,185%,Other Nutrition Program,65.00%,21.10%,14.00%,28.80%,600,81%,19%,$2.82 ,"$781,550.00 "
13255,GA,"Spalding County, Georgia",21.00%,"13,390",130%,SNAP,185%,Other Nutrition Program,57.90%,19.70%,22.40%,29.30%,4790,74%,26%,$2.68 ,"$5,850,270.00 "
13257,GA,"Stephens County, Georgia",16.10%,"4,180",130%,SNAP,185%,Other Nutrition Program,64.70%,17.30%,17.90%,32.00%,1970,86%,14%,$2.71 ,"$1,846,740.00 "
13259,GA,"Stewart County, Georgia",23.10%,"1,360",130%,SNAP,185%,Other Nutrition Program,58.10%,21.20%,20.70%,26.90%,360,66%,34%,$2.83 ,"$627,460.00 "
13261,GA,"Sumter County, Georgia",25.30%,"8,310",130%,SNAP,185%,Other Nutrition Program,59.60%,19.80%,20.60%,30.40%,2570,70%,30%,$2.73 ,"$3,698,490.00 "
13263,GA,"Talbot County, Georgia",21.40%,"1,470",130%,SNAP,185%,Other Nutrition Program,63.00%,25.10%,11.80%,21.10%,320,76%,24%,$2.83 ,"$678,210.00 "
13265,GA,"Taliaferro County, Georgia",25.20%,450,130%,SNAP,185%,Other Nutrition Program,80.50%,19.50%,0.00%,36.90%,120,86%,14%,$2.79 ,"$204,680.00 "
13267,GA,"Tattnall County, Georgia",19.10%,"4,710",130%,SNAP,185%,Other Nutrition Program,59.50%,16.70%,23.80%,30.50%,1620,78%,22%,$2.49 ,"$1,911,970.00 "
13269,GA,"Taylor County, Georgia",23.30%,"2,050",130%,SNAP,185%,Other Nutrition Program,68.40%,25.20%,6.50%,29.40%,660,84%,16%,$2.71 ,"$905,700.00 "
13271,GA,"Telfair County, Georgia",26.70%,"4,310",130%,SNAP,185%,Other Nutrition Program,54.70%,19.40%,25.90%,36.80%,1160,81%,19%,$2.56 ,"$1,798,780.00 "
13273,GA,"Terrell County, Georgia",25.80%,"2,460",130%,SNAP,185%,Other Nutrition Program,62.40%,21.70%,15.90%,28.30%,680,69%,31%,$2.75 ,"$1,102,880.00 "
13275,GA,"Thomas County, Georgia",20.20%,"9,000",130%,SNAP,185%,Other Nutrition Program,61.70%,21.50%,16.80%,27.40%,3080,74%,26%,$2.81 ,"$4,122,960.00 "
13277,GA,"Tift County, Georgia",20.40%,"8,180",130%,SNAP,185%,Other Nutrition Program,59.70%,19.40%,20.80%,30.60%,3190,76%,24%,$2.66 ,"$3,547,280.00 "
13279,GA,"Toombs County, Georgia",20.30%,"5,540",130%,SNAP,185%,Other Nutrition Program,63.90%,19.90%,16.20%,31.30%,2400,78%,23%,$2.52 ,"$2,275,990.00 "
13281,GA,"Towns County, Georgia",11.00%,"1,150",130%,SNAP,185%,Other Nutrition Program,50.70%,36.50%,12.80%,27.20%,460,100%,0%,$2.80 ,"$524,950.00 "
13283,GA,"Treutlen County, Georgia",22.40%,"1,530",130%,SNAP,185%,Other Nutrition Program,60.10%,32.70%,7.20%,30.80%,530,89%,11%,$2.56 ,"$638,550.00 "
13285,GA,"Troup County, Georgia",20.00%,"13,290",130%,SNAP,185%,Other Nutrition Program,55.00%,21.00%,24.00%,28.10%,4970,75%,26%,$2.74 ,"$5,936,580.00 "
13287,GA,"Turner County, Georgia",22.00%,"1,980",130%,SNAP,185%,Other Nutrition Program,68.60%,22.50%,8.90%,27.20%,640,93%,7%,$2.63 ,"$848,950.00 "
13289,GA,"Twiggs County, Georgia",21.10%,"1,940",130%,SNAP,185%,Other Nutrition Program,65.40%,22.90%,11.70%,24.80%,490,78%,22%,$2.67 ,"$844,450.00 "
13291,GA,"Union County, Georgia",12.20%,"2,590",130%,SNAP,185%,Other Nutrition Program,57.80%,13.20%,29.00%,27.90%,1060,78%,22%,$2.89 ,"$1,220,280.00 "
13293,GA,"Upson County, Georgia",19.20%,"5,230",130%,SNAP,185%,Other Nutrition Program,61.70%,24.40%,13.90%,28.10%,1830,88%,12%,$2.65 ,"$2,259,480.00 "
13295,GA,"Walker County, Georgia",13.40%,"9,130",130%,SNAP,185%,Other Nutrition Program,57.10%,25.00%,17.90%,28.10%,4550,77%,23%,$2.68 ,"$3,989,020.00 "
13297,GA,"Walton County, Georgia",14.50%,"12,050",130%,SNAP,185%,Other Nutrition Program,46.60%,23.20%,30.20%,25.50%,5680,73%,27%,$2.77 ,"$5,441,610.00 "
13299,GA,"Ware County, Georgia",20.20%,"7,300",130%,SNAP,185%,Other Nutrition Program,53.10%,18.50%,28.30%,30.40%,2610,71%,29%,$2.46 ,"$2,927,650.00 "
13301,GA,"Warren County, Georgia",27.20%,"1,600",130%,SNAP,185%,Other Nutrition Program,52.60%,23.50%,23.90%,28.40%,390,70%,30%,$2.57 ,"$670,370.00 "
13303,GA,"Washington County, Georgia",24.00%,"5,090",130%,SNAP,185%,Other Nutrition Program,57.00%,18.60%,24.50%,27.30%,1390,72%,28%,$2.57 ,"$2,132,610.00 "
13305,GA,"Wayne County, Georgia",18.30%,"5,500",130%,SNAP,185%,Other Nutrition Program,55.60%,21.50%,22.90%,29.30%,2210,81%,19%,$2.50 ,"$2,241,630.00 "
13307,GA,"Webster County, Georgia",17.70%,490,130%,SNAP,185%,Other Nutrition Program,61.00%,24.60%,14.40%,28.00%,120,81%,19%,$2.72 ,"$217,280.00 "
13309,GA,"Wheeler County, Georgia",21.50%,"1,580",130%,SNAP,185%,Other Nutrition Program,44.10%,14.00%,41.90%,28.30%,360,87%,13%,$2.57 ,"$661,990.00 "
13311,GA,"White County, Georgia",14.10%,"3,780",130%,SNAP,185%,Other Nutrition Program,55.20%,24.30%,20.50%,29.70%,1740,79%,21%,$2.77 ,"$1,707,000.00 "
13313,GA,"Whitfield County, Georgia",15.80%,"15,990",130%,SNAP,185%,Other Nutrition Program,65.90%,12.70%,21.40%,34.30%,9920,77%,23%,$2.44 ,"$6,360,610.00 "
13315,GA,"Wilcox County, Georgia",21.70%,"1,980",130%,SNAP,185%,Other Nutrition Program,49.40%,19.90%,30.60%,32.90%,600,81%,19%,$2.64 ,"$852,180.00 "
13317,GA,"Wilkes County, Georgia",22.00%,"2,310",130%,SNAP,185%,Other Nutrition Program,59.30%,31.80%,9.00%,27.80%,640,86%,14%,$2.75 ,"$1,035,630.00 "
13319,GA,"Wilkinson County, Georgia",18.20%,"1,750",130%,SNAP,185%,Other Nutrition Program,55.60%,19.60%,24.80%,26.40%,630,78%,22%,$2.67 ,"$761,750.00 "
13321,GA,"Worth County, Georgia",18.20%,"3,960",130%,SNAP,185%,Other Nutrition Program,57.90%,28.10%,14.10%,27.50%,1490,84%,16%,$2.62 ,"$1,691,440.00 "
15001,HI,"Hawaii County, Hawaii",15.40%,"28,190",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.60%,0.00%,38.40%,26.40%,11060,60%,40%,$2.80 ,"$12,868,080.00 "
15003,HI,"Honolulu County, Hawaii",12.60%,"118,750",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",49.30%,0.00%,50.70%,19.90%,41680,46%,54%,$2.79 ,"$54,013,040.00 "
15005,HI,"Kalawao County, Hawaii",20.30%,10,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.40%,0.00%,32.60%,0.00%,0,0%,0%,$2.81 ,"$4,580.00 "
15007,HI,"Kauai County, Hawaii",13.80%,"9,120",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",54.10%,0.00%,45.90%,22.20%,3340,44%,56%,$2.62 ,"$3,895,440.00 "
15009,HI,"Maui County, Hawaii",13.60%,"20,770",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",53.80%,0.00%,46.20%,21.80%,7750,49%,51%,$2.99 ,"$10,124,380.00 "
16001,ID,"Ada County, Idaho",15.00%,"58,090",130%,SNAP,185%,Other Nutrition Program,36.70%,18.70%,44.60%,17.70%,18200,57%,43%,$2.80 ,"$26,516,740.00 "
16003,ID,"Adams County, Idaho",19.70%,780,130%,SNAP,185%,Other Nutrition Program,33.10%,29.00%,37.90%,23.00%,180,76%,24%,$3.01 ,"$382,760.00 "
16005,ID,"Bannock County, Idaho",15.50%,"12,660",130%,SNAP,185%,Other Nutrition Program,44.60%,19.20%,36.20%,19.70%,4370,63%,37%,$2.43 ,"$5,015,340.00 "
16007,ID,"Bear Lake County, Idaho",12.50%,750,130%,SNAP,185%,Other Nutrition Program,48.70%,28.50%,22.80%,16.90%,280,75%,25%,$2.46 ,"$300,790.00 "
16009,ID,"Benewah County, Idaho",18.90%,"1,760",130%,SNAP,185%,Other Nutrition Program,47.50%,31.90%,20.60%,23.80%,530,92%,8%,$2.63 ,"$754,620.00 "
16011,ID,"Bingham County, Idaho",14.10%,"6,340",130%,SNAP,185%,Other Nutrition Program,49.40%,21.50%,29.10%,20.10%,2970,70%,31%,$2.49 ,"$2,573,650.00 "
