FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall 
17055,IL,"Franklin County, Illinois",16.80%,"6,640",130.00%,SNAP,185.00%,Other Nutrition Program,51.40%,25.20%,23.40%,28.70%,"2,540",77%,23%,$2.38 ,"$2,720,200 "
17057,IL,"Fulton County, Illinois",14.80%,"5,490",130.00%,SNAP,185.00%,Other Nutrition Program,36.90%,23.10%,40.10%,24.90%,"1,900",61%,39%,$2.16 ,"$2,041,180 "
17059,IL,"Gallatin County, Illinois",14.60%,840,130.00%,SNAP,185.00%,Other Nutrition Program,51.00%,22.00%,27.00%,23.80%,280,73%,27%,$2.58 ,"$373,040 "
17061,IL,"Greene County, Illinois",13.40%,"1,880",130.00%,SNAP,185.00%,Other Nutrition Program,46.60%,21.50%,31.80%,23.20%,750,63%,37%,$2.22 ,"$718,400 "
17063,IL,"Grundy County, Illinois",12.70%,"6,180",130.00%,SNAP,185.00%,Other Nutrition Program,25.10%,17.80%,57.10%,20.50%,"2,670",42%,58%,$2.20 ,"$2,340,270 "
17065,IL,"Hamilton County, Illinois",13.40%,"1,130",130.00%,SNAP,185.00%,Other Nutrition Program,45.90%,26.00%,28.10%,23.20%,450,63%,37%,$2.65 ,"$515,440 "
17067,IL,"Hancock County, Illinois",14.10%,"2,700",130.00%,SNAP,185.00%,Other Nutrition Program,40.10%,24.50%,35.50%,23.30%,960,67%,33%,$2.79 ,"$1,296,650 "
17069,IL,"Hardin County, Illinois",16.80%,740,130.00%,SNAP,185.00%,Other Nutrition Program,54.30%,24.80%,20.90%,30.20%,280,76%,24%,$2.64 ,"$336,270 "
17071,IL,"Henderson County, Illinois",12.90%,960,130.00%,SNAP,185.00%,Other Nutrition Program,38.20%,24.60%,37.30%,20.70%,310,63%,37%,$2.41 ,"$398,240 "
17073,IL,"Henry County, Illinois",11.80%,"5,970",130.00%,SNAP,185.00%,Other Nutrition Program,35.50%,23.20%,41.40%,20.90%,"2,500",62%,39%,$2.09 ,"$2,147,710 "
17075,IL,"Iroquois County, Illinois",12.20%,"3,670",130.00%,SNAP,185.00%,Other Nutrition Program,34.80%,27.10%,38.20%,20.90%,"1,470",63%,38%,$2.43 ,"$1,535,070 "
17077,IL,"Jackson County, Illinois",17.20%,"10,290",130.00%,SNAP,185.00%,Other Nutrition Program,54.70%,11.80%,33.50%,23.00%,"2,300",71%,29%,$2.51 ,"$4,445,750 "
17079,IL,"Jasper County, Illinois",11.70%,"1,140",130.00%,SNAP,185.00%,Other Nutrition Program,36.20%,33.20%,30.60%,19.40%,430,75%,25%,$2.67 ,"$523,930 "
17081,IL,"Jefferson County, Illinois",14.80%,"5,790",130.00%,SNAP,185.00%,Other Nutrition Program,45.30%,19.60%,35.10%,23.00%,"1,990",74%,27%,$2.24 ,"$2,232,450 "
17083,IL,"Jersey County, Illinois",11.50%,"2,640",130.00%,SNAP,185.00%,Other Nutrition Program,35.90%,19.90%,44.20%,18.20%,950,60%,40%,$2.37 ,"$1,076,980 "
17085,IL,"Jo Daviess County, Illinois",11.00%,"2,500",130.00%,SNAP,185.00%,Other Nutrition Program,32.40%,25.70%,42.00%,19.00%,880,52%,49%,$2.41 ,"$1,037,080 "
17087,IL,"Johnson County, Illinois",15.50%,"1,960",130.00%,SNAP,185.00%,Other Nutrition Program,32.10%,16.00%,51.90%,23.00%,550,59%,42%,$2.64 ,"$890,670 "
17089,IL,"Kane County, Illinois",11.20%,"56,050",130.00%,SNAP,185.00%,Other Nutrition Program,33.90%,27.00%,39.10%,21.00%,"30,590",55%,45%,$2.38 ,"$22,961,920 "
17091,IL,"Kankakee County, Illinois",17.00%,"19,010",130.00%,SNAP,185.00%,Other Nutrition Program,41.30%,18.90%,39.80%,23.20%,"6,490",70%,31%,$2.35 ,"$7,689,630 "
17093,IL,"Kendall County, Illinois",10.00%,"10,550",130.00%,SNAP,185.00%,Other Nutrition Program,18.30%,13.30%,68.30%,17.00%,"5,570",28%,72%,$2.27 ,"$4,122,250 "
17095,IL,"Knox County, Illinois",14.10%,"7,470",130.00%,SNAP,185.00%,Other Nutrition Program,41.90%,23.70%,34.30%,23.00%,"2,460",72%,29%,$2.28 ,"$2,931,640 "
17097,IL,"Lake County, Illinois",11.30%,"78,530",130.00%,SNAP,185.00%,Other Nutrition Program,27.10%,18.90%,54.00%,19.10%,"36,750",45%,55%,$2.54 ,"$34,334,040 "
17099,IL,"LaSalle County, Illinois",14.30%,"16,310",130.00%,SNAP,185.00%,Other Nutrition Program,34.10%,21.70%,44.10%,23.80%,"6,320",55%,45%,$2.25 ,"$6,316,730 "
17101,IL,"Lawrence County, Illinois",14.90%,"2,510",130.00%,SNAP,185.00%,Other Nutrition Program,40.20%,21.60%,38.20%,24.90%,800,72%,28%,$2.38 ,"$1,028,270 "
17103,IL,"Lee County, Illinois",13.10%,"4,740",130.00%,SNAP,185.00%,Other Nutrition Program,34.20%,25.40%,40.40%,20.70%,"1,650",63%,38%,$2.14 ,"$1,746,010 "
17105,IL,"Livingston County, Illinois",13.20%,"5,140",130.00%,SNAP,185.00%,Other Nutrition Program,35.10%,17.70%,47.20%,21.80%,"1,890",61%,40%,$2.15 ,"$1,902,200 "
17107,IL,"Logan County, Illinois",13.10%,"3,970",130.00%,SNAP,185.00%,Other Nutrition Program,28.30%,14.50%,57.20%,20.50%,"1,230",53%,47%,$2.19 ,"$1,496,550 "
17109,IL,"McDonough County, Illinois",15.40%,"5,050",130.00%,SNAP,185.00%,Other Nutrition Program,47.80%,14.40%,37.80%,22.00%,"1,110",71%,29%,$2.23 ,"$1,938,440 "
17111,IL,"McHenry County, Illinois",10.30%,"31,420",130.00%,SNAP,185.00%,Other Nutrition Program,24.20%,17.30%,58.60%,18.40%,"15,590",37%,64%,$2.40 ,"$12,979,950 "
17113,IL,"McLean County, Illinois",12.00%,"19,980",130.00%,SNAP,185.00%,Other Nutrition Program,37.90%,13.90%,48.20%,16.70%,"6,200",53%,47%,$2.37 ,"$8,150,790 "
17115,IL,"Macon County, Illinois",16.70%,"18,530",130.00%,SNAP,185.00%,Other Nutrition Program,40.30%,18.10%,41.60%,23.20%,"5,790",74%,26%,$2.23 ,"$7,112,720 "
17117,IL,"Macoupin County, Illinois",13.20%,"6,350",130.00%,SNAP,185.00%,Other Nutrition Program,38.10%,23.20%,38.70%,22.40%,"2,400",62%,39%,$2.38 ,"$2,601,400 "
17119,IL,"Madison County, Illinois",13.70%,"36,610",130.00%,SNAP,185.00%,Other Nutrition Program,38.20%,17.30%,44.50%,20.90%,"12,730",62%,39%,$2.45 ,"$15,439,080 "
17121,IL,"Marion County, Illinois",15.70%,"6,250",130.00%,SNAP,185.00%,Other Nutrition Program,45.70%,27.00%,27.30%,25.60%,"2,410",74%,26%,$2.38 ,"$2,560,430 "
17123,IL,"Marshall County, Illinois",11.90%,"1,510",130.00%,SNAP,185.00%,Other Nutrition Program,33.10%,27.80%,39.10%,19.50%,540,57%,43%,$2.60 ,"$675,780 "
17125,IL,"Mason County, Illinois",15.40%,"2,290",130.00%,SNAP,185.00%,Other Nutrition Program,41.60%,30.60%,27.80%,26.20%,880,74%,26%,$2.62 ,"$1,032,740 "
17127,IL,"Massac County, Illinois",13.60%,"2,090",130.00%,SNAP,185.00%,Other Nutrition Program,44.20%,18.60%,37.10%,22.80%,770,61%,39%,$2.77 ,"$996,510 "
17129,IL,"Menard County, Illinois",10.20%,"1,300",130.00%,SNAP,185.00%,Other Nutrition Program,31.00%,23.50%,45.50%,17.80%,530,55%,45%,$2.65 ,"$592,990 "
17131,IL,"Mercer County, Illinois",12.60%,"2,090",130.00%,SNAP,185.00%,Other Nutrition Program,32.80%,22.40%,44.90%,21.70%,820,57%,43%,$2.45 ,"$881,390 "
17133,IL,"Monroe County, Illinois",9.20%,"2,970",130.00%,SNAP,185.00%,Other Nutrition Program,20.60%,19.30%,60.10%,15.50%,"1,210",29%,71%,$2.51 ,"$1,283,170 "
17135,IL,"Montgomery County, Illinois",15.80%,"4,780",130.00%,SNAP,185.00%,Other Nutrition Program,35.20%,22.10%,42.70%,26.20%,"1,640",62%,38%,$2.15 ,"$1,768,980 "
17137,IL,"Morgan County, Illinois",14.20%,"5,060",130.00%,SNAP,185.00%,Other Nutrition Program,42.30%,16.40%,41.30%,23.50%,"1,650",67%,33%,$2.16 ,"$1,881,310 "
17139,IL,"Moultrie County, Illinois",11.60%,"1,710",130.00%,SNAP,185.00%,Other Nutrition Program,37.30%,31.00%,31.70%,21.00%,770,73%,28%,$2.49 ,"$732,910 "
17141,IL,"Ogle County, Illinois",13.90%,"7,460",130.00%,SNAP,185.00%,Other Nutrition Program,29.50%,19.20%,51.30%,23.20%,"3,110",49%,51%,$1.99 ,"$2,555,330 "
17143,IL,"Peoria County, Illinois",15.80%,"29,280",130.00%,SNAP,185.00%,Other Nutrition Program,39.50%,16.20%,44.30%,20.70%,"9,070",74%,26%,$2.31 ,"$11,642,300 "
17145,IL,"Perry County, Illinois",15.60%,"3,500",130.00%,SNAP,185.00%,Other Nutrition Program,36.90%,22.50%,40.60%,24.90%,"1,090",72%,28%,$2.37 ,"$1,427,820 "
17147,IL,"Piatt County, Illinois",10.60%,"1,760",130.00%,SNAP,185.00%,Other Nutrition Program,32.30%,17.50%,50.20%,18.40%,730,52%,48%,$2.41 ,"$730,110 "
17149,IL,"Pike County, Illinois",13.10%,"2,170",130.00%,SNAP,185.00%,Other Nutrition Program,44.00%,21.90%,34.10%,23.10%,870,67%,33%,$2.43 ,"$907,660 "
17151,IL,"Pope County, Illinois",14.00%,620,130.00%,SNAP,185.00%,Other Nutrition Program,40.30%,24.80%,34.90%,21.60%,200,67%,33%,$2.43 ,"$259,330 "
17153,IL,"Pulaski County, Illinois",20.20%,"1,260",130.00%,SNAP,185.00%,Other Nutrition Program,53.10%,22.10%,24.80%,22.50%,330,100%,0%,$2.70 ,"$585,590 "
17155,IL,"Putnam County, Illinois",13.70%,820,130.00%,SNAP,185.00%,Other Nutrition Program,31.70%,19.70%,48.60%,24.70%,320,62%,38%,$2.43 ,"$342,990 "
17157,IL,"Randolph County, Illinois",12.90%,"4,330",130.00%,SNAP,185.00%,Other Nutrition Program,30.80%,23.50%,45.70%,18.80%,"1,260",68%,32%,$2.18 ,"$1,624,800 "
17159,IL,"Richland County, Illinois",13.50%,"2,180",130.00%,SNAP,185.00%,Other Nutrition Program,40.80%,25.40%,33.80%,20.90%,750,55%,45%,$2.38 ,"$893,080 "
17161,IL,"Rock Island County, Illinois",13.10%,"19,270",130.00%,SNAP,185.00%,Other Nutrition Program,40.50%,24.20%,35.40%,21.00%,"6,890",71%,29%,$2.32 ,"$7,695,300 "
17163,IL,"St. Clair County, Illinois",17.70%,"47,080",130.00%,SNAP,185.00%,Other Nutrition Program,42.60%,12.70%,44.70%,20.10%,"13,700",80%,20%,$2.34 ,"$18,963,040 "
17165,IL,"Saline County, Illinois",15.00%,"3,770",130.00%,SNAP,185.00%,Other Nutrition Program,51.40%,23.80%,24.80%,24.60%,"1,370",76%,24%,$2.18 ,"$1,414,660 "
17167,IL,"Sangamon County, Illinois",13.00%,"25,420",130.00%,SNAP,185.00%,Other Nutrition Program,40.30%,16.10%,43.60%,18.90%,"8,630",66%,34%,$2.34 ,"$10,238,750 "
17169,IL,"Schuyler County, Illinois",11.60%,870,130.00%,SNAP,185.00%,Other Nutrition Program,43.60%,31.10%,25.30%,19.80%,320,66%,34%,$2.64 ,"$395,350 "
17171,IL,"Scott County, Illinois",11.90%,640,130.00%,SNAP,185.00%,Other Nutrition Program,31.10%,26.70%,42.20%,19.10%,240,52%,48%,$2.69 ,"$296,340 "
17173,IL,"Shelby County, Illinois",12.80%,"2,870",130.00%,SNAP,185.00%,Other Nutrition Program,40.60%,25.30%,34.10%,21.80%,"1,090",69%,32%,$2.38 ,"$1,175,750 "
17175,IL,"Stark County, Illinois",13.10%,800,130.00%,SNAP,185.00%,Other Nutrition Program,36.10%,24.10%,39.70%,22.40%,320,62%,38%,$2.67 ,"$367,670 "
17177,IL,"Stephenson County, Illinois",15.60%,"7,470",130.00%,SNAP,185.00%,Other Nutrition Program,40.20%,19.20%,40.60%,23.80%,"2,560",69%,31%,$2.33 ,"$2,995,930 "
17179,IL,"Tazewell County, Illinois",11.80%,"15,800",130.00%,SNAP,185.00%,Other Nutrition Program,27.40%,22.20%,50.50%,19.80%,"6,220",52%,49%,$2.33 ,"$6,336,780 "
17181,IL,"Union County, Illinois",16.50%,"2,960",130.00%,SNAP,185.00%,Other Nutrition Program,52.80%,22.40%,24.80%,25.70%,"1,000",70%,30%,$2.17 ,"$1,105,620 "
17183,IL,"Vermilion County, Illinois",17.30%,"14,190",130.00%,SNAP,185.00%,Other Nutrition Program,47.30%,21.80%,30.90%,25.70%,"5,060",79%,21%,$2.17 ,"$5,300,270 "
17185,IL,"Wabash County, Illinois",13.20%,"1,600",130.00%,SNAP,185.00%,Other Nutrition Program,40.70%,26.20%,33.10%,20.10%,530,58%,42%,$2.45 ,"$674,750 "
17187,IL,"Warren County, Illinois",12.10%,"2,140",130.00%,SNAP,185.00%,Other Nutrition Program,48.20%,27.90%,23.90%,21.30%,820,84%,16%,$2.65 ,"$976,150 "
17189,IL,"Washington County, Illinois",10.70%,"1,590",130.00%,SNAP,185.00%,Other Nutrition Program,34.00%,25.00%,41.00%,18.80%,620,57%,43%,$2.40 ,"$656,850 "
17191,IL,"Wayne County, Illinois",13.30%,"2,250",130.00%,SNAP,185.00%,Other Nutrition Program,45.90%,35.40%,18.70%,22.00%,830,86%,14%,$2.38 ,"$921,750 "
17193,IL,"White County, Illinois",12.80%,"1,890",130.00%,SNAP,185.00%,Other Nutrition Program,47.30%,33.90%,18.80%,23.90%,720,80%,20%,$2.38 ,"$774,270 "
17195,IL,"Whiteside County, Illinois",12.80%,"7,540",130.00%,SNAP,185.00%,Other Nutrition Program,36.60%,28.90%,34.50%,23.00%,"3,120",65%,35%,$2.25 ,"$2,920,180 "
17197,IL,"Will County, Illinois",11.80%,"79,030",130.00%,SNAP,185.00%,Other Nutrition Program,24.90%,17.10%,58.00%,18.00%,"35,250",43%,57%,$2.41 ,"$32,784,210 "
17199,IL,"Williamson County, Illinois",14.00%,"9,180",130.00%,SNAP,185.00%,Other Nutrition Program,45.50%,22.80%,31.70%,23.50%,"3,400",68%,32%,$2.24 ,"$3,539,540 "
17201,IL,"Winnebago County, Illinois",18.20%,"53,390",130.00%,SNAP,185.00%,Other Nutrition Program,40.70%,19.30%,40.00%,26.80%,"19,540",68%,32%,$2.30 ,"$21,137,000 "
17203,IL,"Woodford County, Illinois",10.10%,"3,840",130.00%,SNAP,185.00%,Other Nutrition Program,25.50%,20.60%,53.90%,17.80%,"1,750",49%,51%,$2.71 ,"$1,791,250 "
18001,IN,"Adams County, Indiana",15.70%,"5,370",130.00%,SNAP,185.00%,Other Nutrition Program,51.30%,23.70%,25.00%,25.90%,"2,700",79%,22%,$2.31 ,"$2,135,220 "
18003,IN,"Allen County, Indiana",15.50%,"54,340",130.00%,SNAP,185.00%,Other Nutrition Program,42.30%,17.60%,40.10%,20.50%,"19,100",68%,32%,$2.30 ,"$21,513,110 "
18005,IN,"Bartholomew County, Indiana",13.00%,"9,860",130.00%,SNAP,185.00%,Other Nutrition Program,38.50%,20.60%,40.90%,20.60%,"3,930",56%,44%,$2.25 ,"$3,818,700 "
18007,IN,"Benton County, Indiana",13.70%,"1,210",130.00%,SNAP,185.00%,Other Nutrition Program,36.70%,23.20%,40.10%,20.40%,460,58%,42%,$2.57 ,"$535,270 "
18009,IN,"Blackford County, Indiana",16.70%,"2,160",130.00%,SNAP,185.00%,Other Nutrition Program,44.50%,21.60%,33.90%,25.20%,740,65%,36%,$2.44 ,"$907,190 "
18011,IN,"Boone County, Indiana",11.10%,"6,080",130.00%,SNAP,185.00%,Other Nutrition Program,31.00%,12.70%,56.20%,16.50%,"2,490",38%,62%,$2.30 ,"$2,407,060 "
18013,IN,"Brown County, Indiana",13.70%,"2,090",130.00%,SNAP,185.00%,Other Nutrition Program,39.10%,20.20%,40.70%,21.70%,700,59%,41%,$3.36 ,"$1,208,760 "
18015,IN,"Carroll County, Indiana",12.90%,"2,610",130.00%,SNAP,185.00%,Other Nutrition Program,37.00%,19.90%,43.20%,19.10%,940,49%,51%,$2.55 ,"$1,145,610 "
18017,IN,"Cass County, Indiana",14.70%,"5,740",130.00%,SNAP,185.00%,Other Nutrition Program,48.10%,24.70%,27.20%,23.10%,"2,250",68%,32%,$2.27 ,"$2,242,810 "
18019,IN,"Clark County, Indiana",14.20%,"15,210",130.00%,SNAP,185.00%,Other Nutrition Program,42.00%,19.30%,38.70%,20.60%,"5,240",60%,40%,$2.22 ,"$5,812,160 "
18021,IN,"Clay County, Indiana",14.60%,"3,930",130.00%,SNAP,185.00%,Other Nutrition Program,39.60%,25.90%,34.50%,23.80%,"1,520",65%,35%,$2.07 ,"$1,400,290 "
18023,IN,"Clinton County, Indiana",13.60%,"4,510",130.00%,SNAP,185.00%,Other Nutrition Program,40.40%,25.20%,34.40%,22.40%,"1,970",61%,39%,$2.13 ,"$1,653,530 "
18025,IN,"Crawford County, Indiana",17.30%,"1,880",130.00%,SNAP,185.00%,Other Nutrition Program,53.60%,9.40%,37.00%,25.60%,660,56%,44%,$3.00 ,"$970,810 "
18027,IN,"Daviess County, Indiana",11.50%,"3,570",130.00%,SNAP,185.00%,Other Nutrition Program,55.30%,26.70%,17.90%,18.90%,"1,640",81%,19%,$2.36 ,"$1,450,230 "
18029,IN,"Dearborn County, Indiana",13.30%,"6,570",130.00%,SNAP,185.00%,Other Nutrition Program,30.00%,19.10%,50.90%,19.20%,"2,410",45%,55%,$2.22 ,"$2,510,580 "
18031,IN,"Decatur County, Indiana",14.80%,"3,790",130.00%,SNAP,185.00%,Other Nutrition Program,41.60%,25.00%,33.40%,23.00%,"1,470",70%,30%,$2.15 ,"$1,402,600 "
18033,IN,"DeKalb County, Indiana",14.50%,"6,100",130.00%,SNAP,185.00%,Other Nutrition Program,34.10%,26.80%,39.10%,21.40%,"2,390",58%,42%,$2.35 ,"$2,467,480 "
18035,IN,"Delaware County, Indiana",17.50%,"20,590",130.00%,SNAP,185.00%,Other Nutrition Program,50.50%,16.10%,33.40%,23.40%,"5,430",66%,34%,$2.24 ,"$7,938,890 "
18037,IN,"Dubois County, Indiana",11.60%,"4,830",130.00%,SNAP,185.00%,Other Nutrition Program,35.60%,19.60%,44.70%,18.00%,"1,910",45%,55%,$2.35 ,"$1,953,760 "
18039,IN,"Elkhart County, Indiana",16.80%,"33,080",130.00%,SNAP,185.00%,Other Nutrition Program,43.70%,22.60%,33.70%,25.80%,"14,160",67%,33%,$2.19 ,"$12,469,970 "
18041,IN,"Fayette County, Indiana",19.00%,"4,640",130.00%,SNAP,185.00%,Other Nutrition Program,53.20%,23.50%,23.30%,28.20%,"1,620",78%,22%,$2.27 ,"$1,813,010 "
18043,IN,"Floyd County, Indiana",13.30%,"9,780",130.00%,SNAP,185.00%,Other Nutrition Program,38.40%,16.90%,44.70%,19.70%,"3,500",58%,42%,$2.33 ,"$3,922,390 "
18045,IN,"Fountain County, Indiana",15.50%,"2,690",130.00%,SNAP,185.00%,Other Nutrition Program,42.40%,17.70%,39.80%,23.50%,980,56%,45%,$2.47 ,"$1,143,680 "
18047,IN,"Franklin County, Indiana",14.50%,"3,370",130.00%,SNAP,185.00%,Other Nutrition Program,37.80%,24.30%,37.90%,22.30%,"1,340",62%,38%,$2.42 ,"$1,403,790 "
18049,IN,"Fulton County, Indiana",14.90%,"3,090",130.00%,SNAP,185.00%,Other Nutrition Program,44.10%,29.50%,26.40%,22.50%,"1,100",75%,25%,$2.33 ,"$1,239,280 "
18051,IN,"Gibson County, Indiana",12.80%,"4,270",130.00%,SNAP,185.00%,Other Nutrition Program,38.40%,17.50%,44.10%,19.20%,"1,530",48%,52%,$2.37 ,"$1,741,930 "
18053,IN,"Grant County, Indiana",17.10%,"11,990",130.00%,SNAP,185.00%,Other Nutrition Program,47.80%,17.80%,34.40%,24.30%,"3,670",72%,28%,$2.23 ,"$4,602,350 "
18055,IN,"Greene County, Indiana",14.10%,"4,660",130.00%,SNAP,185.00%,Other Nutrition Program,48.60%,24.20%,27.20%,21.90%,"1,690",72%,28%,$2.35 ,"$1,884,990 "
18057,IN,"Hamilton County, Indiana",9.90%,"25,790",130.00%,SNAP,185.00%,Other Nutrition Program,21.40%,12.80%,65.80%,14.50%,"11,410",30%,70%,$2.68 ,"$11,897,120 "
18059,IN,"Hancock County, Indiana",12.20%,"8,300",130.00%,SNAP,185.00%,Other Nutrition Program,28.50%,19.30%,52.20%,17.40%,"3,100",44%,56%,$2.24 ,"$3,200,230 "
18061,IN,"Harrison County, Indiana",12.90%,"4,980",130.00%,SNAP,185.00%,Other Nutrition Program,38.40%,16.20%,45.40%,20.60%,"1,880",54%,46%,$2.36 ,"$2,023,010 "
18063,IN,"Hendricks County, Indiana",11.30%,"15,820",130.00%,SNAP,185.00%,Other Nutrition Program,25.60%,14.90%,59.50%,15.90%,"6,130",42%,58%,$2.35 ,"$6,399,260 "
18065,IN,"Henry County, Indiana",16.80%,"8,200",130.00%,SNAP,185.00%,Other Nutrition Program,42.40%,19.80%,37.80%,25.10%,"2,680",64%,36%,$2.16 ,"$3,048,760 "
18067,IN,"Howard County, Indiana",17.40%,"14,530",130.00%,SNAP,185.00%,Other Nutrition Program,45.60%,14.10%,40.30%,25.70%,"5,020",65%,35%,$2.24 ,"$5,602,340 "
18069,IN,"Huntington County, Indiana",15.00%,"5,590",130.00%,SNAP,185.00%,Other Nutrition Program,41.50%,20.00%,38.40%,22.50%,"1,980",64%,36%,$2.16 ,"$2,078,360 "
18071,IN,"Jackson County, Indiana",13.60%,"5,710",130.00%,SNAP,185.00%,Other Nutrition Program,43.60%,28.30%,28.10%,20.70%,"2,120",68%,32%,$2.14 ,"$2,103,320 "
18073,IN,"Jasper County, Indiana",13.20%,"4,370",130.00%,SNAP,185.00%,Other Nutrition Program,31.80%,18.20%,50.10%,20.90%,"1,740",52%,48%,$2.37 ,"$1,782,730 "
18075,IN,"Jay County, Indiana",14.40%,"3,080",130.00%,SNAP,185.00%,Other Nutrition Program,46.50%,24.80%,28.70%,23.40%,"1,320",68%,32%,$2.28 ,"$1,208,760 "
18077,IN,"Jefferson County, Indiana",15.70%,"5,070",130.00%,SNAP,185.00%,Other Nutrition Program,44.80%,15.30%,40.00%,24.20%,"1,800",59%,41%,$2.17 ,"$1,893,750 "
18079,IN,"Jennings County, Indiana",15.70%,"4,480",130.00%,SNAP,185.00%,Other Nutrition Program,45.00%,24.10%,30.90%,23.40%,"1,770",66%,34%,$2.42 ,"$1,866,160 "
18081,IN,"Johnson County, Indiana",11.90%,"16,140",130.00%,SNAP,185.00%,Other Nutrition Program,31.10%,15.40%,53.60%,18.10%,"6,450",46%,54%,$2.32 ,"$6,445,360 "
18083,IN,"Knox County, Indiana",13.60%,"5,240",130.00%,SNAP,185.00%,Other Nutrition Program,51.00%,18.50%,30.50%,21.40%,"1,750",70%,30%,$2.36 ,"$2,128,620 "
18085,IN,"Kosciusko County, Indiana",13.40%,"10,340",130.00%,SNAP,185.00%,Other Nutrition Program,41.20%,25.90%,32.90%,20.90%,"4,150",69%,31%,$2.25 ,"$4,004,600 "
18087,IN,"LaGrange County, Indiana",16.80%,"6,210",130.00%,SNAP,185.00%,Other Nutrition Program,48.10%,24.80%,27.10%,26.20%,"3,240",71%,29%,$2.52 ,"$2,693,690 "
18089,IN,"Lake County, Indiana",17.80%,"88,190",130.00%,SNAP,185.00%,Other Nutrition Program,46.70%,12.80%,40.50%,21.70%,"27,710",70%,30%,$2.24 ,"$34,003,450 "
18091,IN,"LaPorte County, Indiana",16.80%,"18,670",130.00%,SNAP,185.00%,Other Nutrition Program,40.00%,17.60%,42.40%,23.70%,"5,960",68%,33%,$2.24 ,"$7,198,600 "
18093,IN,"Lawrence County, Indiana",16.40%,"7,580",130.00%,SNAP,185.00%,Other Nutrition Program,50.50%,24.00%,25.50%,25.50%,"2,780",76%,25%,$2.14 ,"$2,792,150 "
18095,IN,"Madison County, Indiana",16.40%,"21,510",130.00%,SNAP,185.00%,Other Nutrition Program,42.70%,16.20%,41.10%,23.80%,"7,050",66%,34%,$2.28 ,"$8,441,720 "
18097,IN,"Marion County, Indiana",18.00%,"160,580",130.00%,SNAP,185.00%,Other Nutrition Program,50.30%,14.70%,35.00%,20.70%,"45,090",80%,20%,$2.28 ,"$63,020,510 "
18099,IN,"Marshall County, Indiana",14.80%,"6,960",130.00%,SNAP,185.00%,Other Nutrition Program,42.20%,23.30%,34.50%,23.30%,"2,910",65%,35%,$2.15 ,"$2,575,750 "
18101,IN,"Martin County, Indiana",12.50%,"1,290",130.00%,SNAP,185.00%,Other Nutrition Program,42.10%,17.60%,40.30%,20.90%,510,57%,43%,$2.20 ,"$488,500 "
18103,IN,"Miami County, Indiana",17.30%,"6,470",130.00%,SNAP,185.00%,Other Nutrition Program,45.70%,22.20%,32.10%,26.90%,"2,320",71%,29%,$2.08 ,"$2,316,450 "
18105,IN,"Monroe County, Indiana",15.90%,"21,400",130.00%,SNAP,185.00%,Other Nutrition Program,58.40%,9.20%,32.40%,19.70%,"4,280",66%,34%,$2.44 ,"$8,987,920 "
18107,IN,"Montgomery County, Indiana",14.00%,"5,320",130.00%,SNAP,185.00%,Other Nutrition Program,41.00%,20.40%,38.60%,22.50%,"2,050",61%,39%,$2.34 ,"$2,142,810 "
18109,IN,"Morgan County, Indiana",13.30%,"9,120",130.00%,SNAP,185.00%,Other Nutrition Program,38.50%,21.50%,40.00%,20.70%,"3,620",60%,40%,$2.34 ,"$3,673,380 "
18111,IN,"Newton County, Indiana",13.50%,"1,940",130.00%,SNAP,185.00%,Other Nutrition Program,33.10%,29.60%,37.30%,20.90%,700,63%,37%,$2.64 ,"$881,580 "
18113,IN,"Noble County, Indiana",16.10%,"7,640",130.00%,SNAP,185.00%,Other Nutrition Program,36.30%,27.00%,36.70%,25.00%,"3,190",60%,40%,$2.29 ,"$3,011,510 "
18115,IN,"Ohio County, Indiana",13.80%,840,130.00%,SNAP,185.00%,Other Nutrition Program,34.40%,35.00%,30.60%,20.30%,260,79%,22%,$2.62 ,"$378,820 "
18117,IN,"Orange County, Indiana",17.10%,"3,390",130.00%,SNAP,185.00%,Other Nutrition Program,54.60%,20.10%,25.20%,26.80%,"1,280",69%,31%,$2.35 ,"$1,371,270 "
18119,IN,"Owen County, Indiana",14.40%,"3,130",130.00%,SNAP,185.00%,Other Nutrition Program,41.20%,22.20%,36.70%,22.10%,"1,060",64%,36%,$2.43 ,"$1,309,200 "
18121,IN,"Parke County, Indiana",15.30%,"2,660",130.00%,SNAP,185.00%,Other Nutrition Program,43.00%,17.20%,39.90%,24.90%,870,64%,36%,$2.42 ,"$1,108,030 "
18123,IN,"Perry County, Indiana",14.00%,"2,710",130.00%,SNAP,185.00%,Other Nutrition Program,36.40%,23.10%,40.50%,21.30%,840,62%,39%,$2.35 ,"$1,096,210 "
18125,IN,"Pike County, Indiana",13.60%,"1,760",130.00%,SNAP,185.00%,Other Nutrition Program,49.80%,18.90%,31.30%,20.50%,570,69%,32%,$2.38 ,"$721,020 "
