,Organization,Address,City,State
1,Vermilion Milk Fund & Kaplan,801 N Cushing Ave Kaplan LA 70548,Kaplan,['LA']
2,Catholic Charities Archdiocese,2505 Magazine St New Orleans LA 70130,New Orleans,['LA']
3,Food Bank,12419 Section Rd Port Allen LA 70767,Port Allen,['LA']
4,Ross Foods,2106 Justice St Monroe LA 71201,Monroe,['LA']
5,Our Daily Bread Food Bank,1006 W Coleman Ave Hammond LA 70403,Hammond,['LA']
6,Nw La Food Bank,3210 Hollywood Ave # A Shreveport LA 71108,Shreveport,['LA']
7,Secondharvest,700 Edwards Ave New Orleans LA 70123,New Orleans,['LA']
8,Catholic Charities,7649 Townsend Pl New Orleans LA 70126,New Orleans,['LA']
9,Southeast Food Pantry,105 Highland Park Plz Covington LA 70433,Covington,['LA']
10,Food Bank Of Northwest Louisiana,2307 Texas Ave Shreveport LA 71103,Shreveport,['LA']
11,Food Bank,254 Magnolia St Houma LA 70360,Houma,['LA']
12,Food Bank Of Central Louisiana,3223 Baldwin Ave Alexandria LA 71301,Alexandria,['LA']
13,Streams Of Life,8846 Greenwell Springs Rd Baton Rouge LA 70814,Baton Rouge,['LA']
14,Krispy Krunchy Foods,1600 Harris St Alexandria LA 71301,Alexandria,['LA']
15,Love In Action Outreach,7905 Downman Rd New Orleans LA 70126,New Orleans,['LA']
16,Gretna Food Bank,1400 Jefferson St Gretna LA 70053,Gretna,['LA']
17,Riverside Patty,10933 Cloverland Ave Baton Rouge LA 70809,Baton Rouge,['LA']
18,The Spc-Misaada Center,1839 Saint Philip St New Orleans LA 70116,New Orleans,['LA']
19,Greater Baton Rouge Food Bank,10600 S. Choctaw Dr. Baton Rouge LA 70815,Baton Rouge,['LA']
0,Brunswick Food Bank,84 A St Brunswick ME 4011,Brunswick,['ME']
1,Gorham Food Pantry,299 Main St Gorham ME 4038,Gorham,['ME']
2,Project Feed Inc,202 Woodford St Portland ME 4103,Portland,['ME']
3,Stone Soup Food Pantry,180 Main St Biddeford ME 4005,Biddeford,['ME']
4,Friends-Cmnty Actn Food Pantry,160 Elm St Biddeford ME 4005,Biddeford,['ME']
5,Saco Food Pantry Inc,67 Ocean Park Rd Saco ME 4072,Saco,['ME']
6,Good Shepherd Food Bank,3121 Hotel Rd Auburn ME 4210,Auburn,['ME']
7,Priscilla'S Pantry,21 N Verrill Rd Minot ME 4258,Minot,['ME']
8,Maine Sea Coast Mission Food Pantry,7 Weald Bethal Ln Cherryfield ME 4622,Cherryfield,['ME']
9,Camden Area Christian Food,128 Mount Battie St Camden ME 4843,Camden,['ME']
10,Augusta Food Bank,9 Summer St Augusta ME 4330,Augusta,['ME']
11,Food Cupboard,16 Cariani St Skowhegan ME 4976,Skowhegan,['ME']
12,Good Shepard Food Bank North,88 Stevens Rd Brewer ME 4412,Brewer,['ME']
13,Bar Harbor Food Pantry,36 Mount Desert St Bar Harbor ME 4609,Bar Harbor,['ME']
14,Winthrop Food Pantry,15 High St Winthrop ME 4364,Winthrop,['ME']
15,Tree Of Life Food Pantry,23 South St Blue Hill ME 4614,Blue Hill,['ME']
0,Maryland Food Bank Inc.,2200 Halethorpe Farms Rd Baltimore MD 21227,Baltimore,['MD']
1,Community Food Pantry,401 High St Chestertown MD 21620,Chestertown,['MD']
2,Food Resources Inc,220 McRand Ct Hagerstown MD 21740,Hagerstown,['MD']
3,Western Maryland Food Bank,800 Frederick St Cumberland MD 21502,Cumberland,['MD']
4,Donald Bentley Food Pantry,2405 Loch Raven Rd Baltimore MD 21218,Baltimore,['MD']
5,Church Of Kingdom Empowerment,4500 57th Ave Bladensburg MD 20710,Bladensburg,['MD']
6,Howard County Food Bank,"9385 Gerwig Lane, Suite J Columbia MD 21046",Columbia,['MD']
7,Calvert Churches Community Fd,100 Jibsail Dr Prince Frederick MD 20678,Prince Frederick,['MD']
8,Casa,40 S Dundalk Ave Dundalk MD 21222,Dundalk,['MD']
9,Middletown Food Bank,301 Main St Myersville MD 21773,Myersville,['MD']
10,Icac-Oxon Hill Food Pantry,4915 Saint Barnabas Rd Temple Hills MD 20748,Temple Hills,['MD']
11,Eastland Food Corporation,8305 Stayton Dr Ste C Jessup MD 20794,Jessup,['MD']
12,Catonsville Emergency Food,25 Bloomsbury Ave Catonsville MD 21228,Catonsville,['MD']
13,Eastern Interfaith Outreach,155 Orville Rd Essex MD 21221,Essex,['MD']
14,Share Food Network,5170 Lawrence Pl Hyattsville MD 20781,Hyattsville,['MD']
15,Nourish Now,1111 Taft Street Rockville MD 20850,Rockville,['MD']
16,Manna Food Ctr,9311 Gaither Rd Gaithersburg MD 20877,Gaithersburg,['MD']
17,Gaithersburg Community Soup Kitchen Inc,201 N Frederick Ave Gaithersburg MD 20877,Gaithersburg,['MD']
18,Raven House Food Pantry,32 East Ave Hagerstown MD 21740,Hagerstown,['MD']
19,Western Maryland Food Bank,917 Gay St Cumberland MD 21502,Cumberland,['MD']
0,Sandwich Food Pantry,331 Cotuit Rd Sandwich MA 2563,Sandwich,['MA']
1,Boston Food Bank,99 Atkinson St Boston MA 2118,Boston,['MA']
2,Food Pantry,118 E Main St Orange MA 1364,Orange,['MA']
3,Bourne Friends Food Pantry,6 Colonel Dr Buzzards Bay MA 2532,Buzzards Bay,['MA']
4,Pembroke Food Pantry,142 Center St Pembroke MA 2359,Pembroke,['MA']
5,St Mary'S Food Pantry,78 Broadway Taunton MA 2780,Taunton,['MA']
6,Huntington Food Pantry At Pvag,63 Old Chester Rd Huntington MA 1050,Huntington,['MA']
7,Worcester County Food Bank,474 Boston Tpke Shrewsbury MA 1545,Shrewsbury,['MA']
8,Blessed John Paul Ii Parish,279 Hamilton St Southbridge MA 1550,Southbridge,['MA']
9,Marshfield Food Pantry,1981 Ocean St Marshfield MA 2050,Marshfield,['MA']
10,Upper Cape Helping Hands,1 Carleton Dr # 220 Mashpee MA 2649,Mashpee,['MA']
11,Food Bank Of Western Maryland,97 N Hatfield Rd Hatfield MA 1038,Hatfield,['MA']
12,Food For The World,468 Canal St Lawrence MA 1840,Lawrence,['MA']
13,Walpole Community Food Pantry,1303 Washington St Walpole MA 2081,Walpole,['MA']
14,Open Pantry Community Service,2460 Main St # 108 Springfield MA 1107,Springfield,['MA']
15,Easton Food Pantry,136 Elm St North Easton MA 2356,North Easton,['MA']
16,Saint Joseph'S Pantry,13 Franklin St Salem MA 1970,Salem,['MA']
17,Acord Food Pantry,69 Willow St South Hamilton MA 1982,South Hamilton,['MA']
18,Daily Bread Food Pantry,21 Exchange St Milford MA 1757,Milford,['MA']
19,Friendship Center Food Pantry,43 Eagle Street North Adams MA 1247,North Adams,['MA']
0,Feeding America West Michigan Food Bank,1488 E Empire Ave Benton Harbor MI 49022,Benton Harbor,['MI']
1,Eleanor'S Pantry,221 Drew St Paw Paw MI 49079,Paw Paw,['MI']
2,Redbud Area Ministries,708 N Red Bud Trl Buchanan MI 49107,Buchanan,['MI']
3,Nourishing Gardens Food Bank,24831 Sumpter Rd Belleville MI 48111,Belleville,['MI']
4,Fish And Loaves,25670 Northline Rd Taylor MI 48180,Taylor,['MI']
5,Michigan Food Bank Council,501 N Walnut St Lansing MI 48933,Lansing,['MI']
6,Food Bank Of South Central Michigan,5451 Wayne Rd Battle Creek MI 49037,Battle Creek,['MI']
7,Joan & Wayne Webber Distribution Center,24162 Mound Rd Warren MI 48091,Warren,['MI']
8,The Hunger Police,6405 Middlebelt Rd Romulus MI 48174,Romulus,['MI']
9,The Downriver Community Food Pantry,135 Superior Blvd Wyandotte MI 48192,Wyandotte,['MI']
10,Gleaners Community Food Bank Of Southeastern Michigan,2131 Beaufait Detroit MI 48207,Detroit,['MI']
11,Community Compassion Network,2420 E Broomfield Rd Mount Pleasant MI 48858,Mount Pleasant,['MI']
12,Gleaners Distribution Center,25698 Northline Rd Taylor MI 48180,Taylor,['MI']
13,Ss Andrew & Benedict,12047 Miami St Detroit MI 48217,Detroit,['MI']
14,County Kent,1550 Leonard St NE Grand Rapids MI 49505,Grand Rapids,['MI']
15,Food Bank Ingham County,S Cedar St Lansing MI 48911,Lansing,['MI']
16,Giving Hearts,6490 E 10 Mile Rd Center Line MI 48015,Center Line,['MI']
17,Food Movers,2116 Mint Rd Lansing MI 48906,Lansing,['MI']
18,Community Food Club Of Greater Grand Rapids,1100 Division Ave S Grand Rapids MI 49507,Grand Rapids,['MI']
19,Daily Bread Of Lenawee Soup Kitchen,Adrian MI 49221,Adrian,['MI']
0,Family Pathways Teen Ctr,6381 Main St North Branch MN 55056,North Branch,['MN']
1,Big Lake Community Food Shelf,160 Lake St N Big Lake MN 55309,Big Lake,['MN']
2,Michelle Rageth,255 3rd St Saint Paul Park MN 55071,Saint Paul Park,['MN']
3,Buffalo Food Shelf,301 12th Ave S Buffalo MN 55313,Buffalo,['MN']
4,The Plainview Elgin Area Food Shelf,25 Main St E Elgin MN 55932,Elgin,['MN']
5,Mlnneapolls Market,122 E Lake St Minneapolis MN 55408,Minneapolis,['MN']
6,Angel'S Of Hope,413 2nd St SE Pine City MN 55063,Pine City,['MN']
7,Waconia United Food Shelf,11 Elm Ave S Maple Lake MN 55358,Maple Lake,['MN']
8,Cambridge Food Pantry,1575 1st Ave E Cambridge MN 55008,Cambridge,['MN']
9,Mcleod Emergency Food Shelf,105 2nd Ave SW Ste 3 Hutchinson MN 55350,Hutchinson,['MN']
10,Hibbing Food Shelf,1910 1st Ave Hibbing MN 55746,Hibbing,['MN']
11,Bountiful Basket Food Shelf,1600 Bavaria Rd Chaska MN 55318,Chaska,['MN']
12,North County Food Shelf,510 County Road 71 Crookston MN 56716,Crookston,['MN']
13,Tyler Area Food Shelf,136 N Tyler St Tyler MN 56178,Tyler,['MN']
14,Child & Adult Care Food Prgm,1821 University Ave W Saint Paul MN 55104,Saint Paul,['MN']
15,Catholic Charities,183 Old 6th St W Saint Paul MN 55102,Saint Paul,['MN']
16,Kimball Area Food Shelf,441 Hazel Ave E Kimball MN 55353,Kimball,['MN']
17,Ruby'S Home & Away Ministries,5481 Saint Croix Trl North Branch MN 55056,North Branch,['MN']
18,Aeoa,10 Central Ave NE Chisholm MN 55719,Chisholm,['MN']
19,Red Engine Foods,7071 Shady Oak Rd Eden Prairie MN 55344,Eden Prairie,['MN']
0,Our Daily Bread Food Pantry,227 First St S Wiggins MS 39577,Wiggins,['MS']
1,Bay Area Food Bank,11975 Seaway Rd Gulfport MS 39503,Gulfport,['MS']
2,Olive Branch Food Ministry,10947 Highway 178 Olive Branch MS 38654,Olive Branch,['MS']
3,Marion County Food Pantry,151 S High School Ave Columbia MS 39429,Columbia,['MS']
4,New Creation Community Center,2455 Livingston Rd Jackson MS 39213,Jackson,['MS']
5,Peter'S Rock Food Pantry,121 Dr Martin Luther King Jr Dr W Starkville Starkville MS 39759,Starkville,['MS']
6,Food Pantry Inc,424 Bullis St Columbia MS 39429,Columbia,['MS']
7,Feed By Faith,2113 Front St Meridian MS 39301,Meridian,['MS']
8,Mississippi Food Network,440 Beatty St Jackson MS 39201,Jackson,['MS']
9,Hancock County Food Pantry,9972 Highway 603 Bay Saint Louis MS 39520,Bay Saint Louis,['MS']
0,Crosslines Of Mcdonald County,921 N 71 Business Hwy Anderson MO 64831,Anderson,['MO']
1,Cam Food Pantry,10726 State Highway 76 Ste E Forsyth MO 65653,Forsyth,['MO']
2,Helping Hands Community Food Pantry,32685 State Highway 86 Shell Knob MO 65747,Shell Knob,['MO']
3,Flame Of Hope Food Pantry Inc,604 W Washington St East Prairie MO 63845,East Prairie,['MO']
4,Silvios Foods,4403 NW Gateway Ave Riverside MO 64150,Riverside,['MO']
5,Community Food Pantry-Butler,709 W Ohio St Butler MO 64730,Butler,['MO']
6,Southeast Missouri Food Bank,600 State Highway H Sikeston MO 63801,Sikeston,['MO']
7,Shepherd'S Staff Food Pantry,1311 Sanders St Harrisonville MO 64701,Harrisonville,['MO']
8,Valley Community Center Inc,909 W Valley St Saint Joseph MO 64504,Saint Joseph,['MO']
9,Plattsburg Food Pantry,117 W Maple St Plattsburg MO 64477,Plattsburg,['MO']
10,Sikeston Food Pantry,813 Davis Blvd Sikeston MO 63801,Sikeston,['MO']
11,Living Hope Food Panty & Thrif,118 E Main St Maysville MO 64469,Maysville,['MO']
12,Cameron Food Pantry,808 N Walnut St Cameron MO 64429,Cameron,['MO']
13,Stewartsville Food Pantry,401 Main St Stewartsville MO 64490,Stewartsville,['MO']
14,Elvins Food Pantry,17 SW Main St Bonne Terre MO 63628,Bonne Terre,['MO']
15,Ozarks Food Harvest,2810 N Cedarbrook Ave Springfield MO 65803,Springfield,['MO']
16,Hillsboro Food Pantry Inc,10399 Business 21 Hillsboro MO 63050,Hillsboro,['MO']
17,Smith Food Bank,445 W Maple St Slater MO 65349,Slater,['MO']
18,Community Food Pantry,165 W Morgan St Marshall MO 65340,Marshall,['MO']
19,Lincoln County Cupboard,456 N Main St Elsberry MO 63343,Elsberry,['MO']
0,Community Harvest Food Bank,704 1/2 Preston Ave W Thompson Falls MT 59873,Thompson Falls,['MT']
1,Food Pantry,131 E Helena St Dillon MT 59725,Dillon,['MT']
2,Haven House,316 N 3rd St Ste 162 Hamilton MT 59840,Hamilton,['MT']
3,Pantry Partners,3614 Alc Way Stevensville MT 59870,Stevensville,['MT']
4,Butte Food Bank,1019 E 2nd St Butte MT 59701,Butte,['MT']
5,Libby Food Pantry,724 Louisiana Ave Libby MT 59923,Libby,['MT']
6,North Valley Food Bank,251 Flathead Ave Whitefish MT 59937,Whitefish,['MT']
7,Big Timber Food Bank,515 Hooper St Big Timber MT 59011,Big Timber,['MT']
8,Food Bank & Thrift Store,1419 Mt Highway 200 Noxon MT 59853,Noxon,['MT']
9,Livingston Food Pantry,112 N M St Livingston MT 59047,Livingston,['MT']
10,Helping Hands Food Bank,825 3rd St W Hardin MT 59034,Hardin,['MT']
11,Billings Food Bank,2122 4th Ave N Billings MT 59101,Billings,['MT']
12,Food Bank Carbon County,17 E 11th St Red Lodge MT 59068,Red Lodge,['MT']
13,Great Falls Community Food Bank,1620 12th Ave N Great Falls MT 59401,Great Falls,['MT']
14,Montana Food Bank Network,5625 Expressway Missoula MT 59808,Missoula,['MT']
15,Bigfork Food Bank,7545 Mt Highway 35 Bigfork MT 59911,Bigfork,['MT']
16,Food Bank,115 Chowning St Ennis MT 59729,Ennis,['MT']
17,Flathead Food Bank,1203 US Highway 2 W Ste 2 Kalispell MT 59901,Kalispell,['MT']
18,Food Bank,Seeley Lake MT 59868,Seeley Lake,['MT']
19,Livingston Food Pantry,202 S 2nd St Livingston MT 59047,Livingston,['MT']
0,Washington County Food Pantry,1737 Washington St Blair NE 68008,Blair,['NE']
1,Bellevue Food Pantry,104 Galvin Rd N Bellevue NE 68005,Bellevue,['NE']
2,Food Bank For The Heartland,10525 J St. Omaha NE 68127,Omaha,['NE']
3,Food Pantry,105 E Highway 30 Cozad NE 69130,Cozad,['NE']
4,Food Bank Of Lincoln Inc,4840 Doris Bair Cir Lincoln NE 68504,Lincoln,['NE']
5,Lutheran Metro Food Pantry,1015 Lancaster Ln Lincoln NE 68505,Lincoln,['NE']
6,Hamilton County Food Pantry,1118 N St Aurora NE 68818,Aurora,['NE']
7,Hastings Food Pantry,918 W 4th St Hastings NE 68901,Hastings,['NE']
8,Arapahoe Area Food Pantry,210 7th St Arapahoe NE 68922,Arapahoe,['NE']
9,Platte County Food Pantry,3020 18th St Ste 13 Columbus NE 68601,Columbus,['NE']
0,Colorado River Food Bank,200 Michael Wendell Way Searchlight NV 89046,Searchlight,['NV']
1,Salvation Army,1581 N Main St Las Vegas NV 89101,Las Vegas,['NV']
2,Community Food Bank Of Clark County,4190 N Pecos Rd Las Vegas NV 89115,Las Vegas,['NV']
3,Virgin Valley Community Food & Thrift Store,312 W. Mesquite Blvd Mesquite NV 89027,Mesquite,['NV']
4,Colorado River Food Bank,240 E Laughlin Civic Dr Laughlin NV 89029,Laughlin,['NV']
5,Fish Food Pantry,1600 E Cartier Ave North Las Vegas NV 89030,North Las Vegas,['NV']
0,Fbc Community Food Pantry,4 Crystal Ave Unit 4 Derry NH 3038,Derry,['NH']
1,Seacoast Family Food Pantry,7 Junkins Ave Portsmouth NH 3801,Portsmouth,['NH']
2,Wakefield Food Pantry,138 Meadow St Sanbornville NH 3872,Sanbornville,['NH']
3,Lakes Region Food Pantry,61 Whittier Hwy Moultonborough NH 3254,Moultonborough,['NH']
4,Epsom Food Pantry,1598 Dover Rd Epsom NH 3234,Epsom,['NH']
5,Center Harbor Food Pantry,80 Bean Rd Moultonborough NH 3254,Moultonborough,['NH']
6,Weare Food Pantry,45 Bartlett Dr Weare NH 3281,Weare,['NH']
7,The Community Food Pantry,176 W High St Somersworth NH 3878,Somersworth,['NH']
8,Pelham Food Pantry,12 Main St Pelham NH 3076,Pelham,['NH']
9,Rindge Food Pantry,646 Nh Route 119 Rindge NH 3461,Rindge,['NH']
10,Hookestt Community Food Pantry,35 Main St Hooksett NH 3106,Hooksett,['NH']
11,Nashua Soup Kitchen & Shelter,2 Quincy St Nashua NH 3060,Nashua,['NH']
12,Friends Of Forgotten Children,224 Bog Rd Concord NH 3303,Concord,['NH']
13,Hillsboro District Food Pantry,7 Church St Hillsborough NH 3244,Hillsborough,['NH']
14,Goffstown Networks Food Pantry,7 N Mast St Goffstown NH 3045,Goffstown,['NH']
15,"Corpus Christi Food Pantry & Assistance, Inc.",3 Crown Street Nashua NH 03060,Nashua,['NH']
16,Colebrook Area Food Pantry,55 Pleasant St Colebrook NH 3576,Colebrook,['NH']
17,Hopkinton Food Pantry,Contoocook NH 3229,Contoocook,['NH']
18,Nashua Soup Kitchen & Shelter,Nashua NH 3060,Nashua,['NH']
0,Wayne Interfaith Network,1 Pike Drive Wayne NJ 7470,Wayne,['NJ']
1,Community Food Bank Of New Jersey,6735 Black Horse Pike Egg Harbor Township NJ 8234,Egg Harbor Township,['NJ']
2,St Joseph Food Pantry,22 Halsted St Newton NJ 7860,Newton,['NJ']
3,Mercer Street Friends Food Bnk,824 Silvia St Ewing NJ 8628,Ewing,['NJ']
4,Franklin Twp Food Bank,60 Millstone Rd Somerset NJ 8873,Somerset,['NJ']
5,St Mary'S Food Pantry,22 Lakeside Ave Pompton Lakes NJ 7442,Pompton Lakes,['NJ']
6,Food Bank Network Of Somerset,9 Easy St Bound Brook NJ 8805,Bound Brook,['NJ']
7,Bradley Food Pantry,605 4th Ave Bradley Beach NJ 7720,Bradley Beach,['NJ']
8,Keyport Ministerium Food Pantry,10 E Front St Keyport NJ 7735,Keyport,['NJ']
9,Food Bank Of Monmouth & Ocean,3300 State Route 66 Neptune NJ 7753,Neptune,['NJ']
10,Sparta Ecumenical Food Pantry,32 Main St Sparta NJ 7871,Sparta,['NJ']
11,Interfaith Food Pantry,540 W Hanover Ave Morristown NJ 7960,Morristown,['NJ']
12,Church Of The Good Shepherd,68 Sand Hill Rd Sussex NJ 7461,Sussex,['NJ']
13,Better World Market,1743 State Route 27 Somerset NJ 8873,Somerset,['NJ']
14,Interfaith Food Pantry,2 Executive Dr Fort Lee NJ 7024,Fort Lee,['NJ']
15,The Greater Tuckerton,148 N Green St Tuckerton NJ 8087,Tuckerton,['NJ']
16,Lincoln Park Food Pantry,10 Boonton Tpke Lincoln Park NJ 7035,Lincoln Park,['NJ']
17,Pantry Farms,49 W Upper Ferry Rd Ewing NJ 8628,Ewing,['NJ']
18,Sussex Help Ctr Food Pantry,28 Main St Sussex NJ 7461,Sussex,['NJ']
19,Food Bank Of South Jersey,1501 John Tipton Blvd Pennsauken NJ 8110,Pennsauken,['NJ']
0,Food Bank Of Eastern New Mexico,2217 E Brady Ave Clovis NM 88101,Clovis,['NM']
1,Roadrunner Food Bank,2001 Copper Loop Ste 12 Las Cruces NM 88005,Las Cruces,['NM']
2,Families & Youth Inc Child,414 Saint Anthony St Anthony NM 88021,Anthony,['NM']
3,Echo Food Bank,401 S Commercial Ave Farmington NM 87401,Farmington,['NM']
4,Jonah'S Food Pantry,209 N Guadalupe St Carlsbad NM 88220,Carlsbad,['NM']
5,New Mexico Assn Of Food Bank,5840 Office Blvd NE Albuquerque NM 87109,Albuquerque,['NM']
6,St Vincent De Paul Food Bank,603 S Roselawn Ave Artesia NM 88210,Artesia,['NM']
7,Food Project Rio Grand,600 Coors Blvd NW Albuquerque NM 87121,Albuquerque,['NM']
8,Meals On Wheels,108 S 14th St Artesia NM 88210,Artesia,['NM']
9,Lincoln C Food Bank,361 E Highway 70 Ruidoso Downs NM 88346,Ruidoso Downs,['NM']
10,Los Alamos Community Food Bank,77 Loma Vista St Los Alamos NM 87544,Los Alamos,['NM']
11,Mary'S Kitchen,325 S Main St Belen NM 87002,Belen,['NM']
12,The Little Poor One Food Pantry,205 Don Fernando St Taos NM 87571,Taos,['NM']
13,Roadrunner Food Bank,5840 Office Blvd NE Albuquerque NM 87109,Albuquerque,['NM']
14,Harvest Ministries,601 N Main St Roswell NM 88202,Roswell,['NM']
15,The Food Depot,1222 Siler Rd Ste A Santa Fe NM 87507,Santa Fe,['NM']
16,Sol Food Natural Market,480 State Route 150 # C Arroyo Seco NM 87514,Arroyo Seco,['NM']
17,St John Soup Kitchen,1301 Osage Ave Santa Fe NM 87505,Santa Fe,['NM']
18,Aceq Restaurant,480 State Route 150 Arroyo Seco NM 87514,Arroyo Seco,['NM']
0,St James Church,50 Summit Ave Albany NY 12209,Albany,['NY']
1,Regional Food Bank,965 Albany Shaker Rd Latham NY 12110,Latham,['NY']
2,Chatham Area Silent Food,77 Main St Chatham NY 12037,Chatham,['NY']
3,Shenendehowa Helping Hands,963 Main St Clifton Park NY 12065,Clifton Park,['NY']
4,Food Bank Assn-New York State,235 Lark St Ste 7 Albany NY 12210,Albany,['NY']
5,React Inc Food Pantry,501 Grand St Troy NY 12180,Troy,['NY']
6,Blackrock Riverside Emer,357 Ontario St Buffalo NY 14207,Buffalo,['NY']
7,Scc Food Pantry,34 Barnstead Dr Springville NY 14141,Springville,['NY']
8,Florida Community Food Pantry,1 N Main St Florida NY 10921,Florida,['NY']
9,Chautauqua County Rural Ministry,127 Central Ave Dunkirk NY 14048,Dunkirk,['NY']
10,Brocton Food Pantry,7063 W Main Rd Portland NY 14769,Portland,['NY']
11,East Hampton Food Pantry,219 Accabonac Rd East Hampton NY 11937,East Hampton,['NY']
12,Smithtown Emergency Food Pantry,90 Edgewater Ave Smithtown NY 11787,Smithtown,['NY']
13,Maxfield Community Food Pantry,89 Bay Rd Lake Luzerne NY 12846,Lake Luzerne,['NY']
14,Greater Sayville Food Pantry,47 Gillette Ave Sayville NY 11782,Sayville,['NY']
15,Food Bank For Nyc,356 Fulton St Brooklyn NY 11201,Brooklyn,['NY']
16,North Shore Soup Kitchen,7 Continental Place Glen Cove NY 11542,Glen Cove,['NY']
17,Gowanda Food Pantry,64 E Main St Gowanda NY 14070,Gowanda,['NY']
18,Saint Frances Cabrini Food Pantry,7 Amity St Patchogue NY 11772,Patchogue,['NY']
19,Brockport Food Shelf,14 State St Brockport NY 14420,Brockport,['NY']
0,The Storehouse,627 7th Ave E Hendersonville NC 28792,Hendersonville,['NC']
1,Food Bank-Central & Eastern Nc,3808 Tarheel Dr Raleigh NC 27609,Raleigh,['NC']
2,Food Bank Of Central & Eastern Nc,1712 Union St Greenville NC 27834,Greenville,['NC']
3,Second Harvest Food Bank,3146 Dallas Hgh Shls Hwy Dallas NC 28034,Dallas,['NC']
4,Gates Emergency Ministries,252 Nc Highway 37 N Gates NC 27937,Gates,['NC']
5,Beach Food Pantry,3809 N Croatan Hwy Kitty Hawk NC 27949,Kitty Hawk,['NC']
6,Food Bank Of Central & Eastern Nc-Sand Hills Branc,195 Sandy Ave Southern Pines NC 28387,Southern Pines,['NC']
7,Upper Room Bread Basket,107 Savage St Gatesville NC 27938,Gatesville,['NC']
8,Second Harvest Food Bank,538 1st Ave SW Hickory NC 28602,Hickory,['NC']
9,The Harvest Center,1800 Brewton Dr Charlotte NC 28206,Charlotte,['NC']
10,Catholic Charities,1123 S Church St Charlotte NC 28203,Charlotte,['NC']
11,Eagle House,724 Grandin Rd Charlotte NC 28208,Charlotte,['NC']
12,Food Bank Of Albermarle,109 Tidewater Way Elizabeth City NC 27909,Elizabeth City,['NC']
13,Christian Community Caring Center,15200 US Highway 17 N Hampstead NC 28443,Hampstead,['NC']
14,Food Bank Of The Albermarle,524 S Road St Elizabeth City NC 27909,Elizabeth City,['NC']
15,Partners In Ministry,12 3rd St Laurinburg NC 28352,Laurinburg,['NC']
16,Second Harvest Food Bank,500 Spratt St Ste B Charlotte NC 28206,Charlotte,['NC']
17,The Soup Kitchen & Winter Night Shelter,216 Patterson Ave SE Concord NC 28025,Concord,['NC']
18,Manna Grocer Reclamation,623 Swannanoa River Rd Asheville NC 28805,Asheville,['NC']
19,Plymouth Food Pantry,811 Washington St Plymouth NC 27962,Plymouth,['NC']
0,Lamoure County Auditor,PO Box 128 Lamoure ND 58458,Lamoure,['ND']
1,Emergency Food Pantry,1101 4th Ave N Fargo ND 58102,Fargo,['ND']
2,Pembina County Emergency Food Pantry,210 Division Ave S Cavalier ND 58220,Cavalier,['ND']
3,Bismarck Emergency Food Pantry,725 Memorial Hwy Bismarck ND 58504,Bismarck,['ND']
4,Harvey Food Pantry,708 Alder Ave Harvey ND 58341,Harvey,['ND']
5,Great Plains Food Bank,721 Memorial Hwy Bismarck ND 58504,Bismarck,['ND']
6,Carrington'S Daily Bread,875 Main St Carrington ND 58421,Carrington,['ND']
7,Richland Wilkin Food Pantry,699 8th Ave S Wahpeton ND 58075,Wahpeton,['ND']
0,Afl-Cio Labor Food Pantry,6550 Poe Ave Dayton OH 45414,Dayton,['OH']
1,Central Christian Church Ironton,541 S 7th St Ironton OH 45638,Ironton,['OH']
2,Michael'S Grace Place,801 Solida Rd South Point OH 45680,South Point,['OH']
3,Feed The Hungry Group,834 Yankee Rd Middletown OH 45044,Middletown,['OH']
4,Freestore Foodbank,1141 Central Pkwy Cincinnati OH 45202,Cincinnati,['OH']
5,Fairfield Food Pantry,1085 Magie Ave Fairfield OH 45014,Fairfield,['OH']
6,St George Food Pantry,108 Calhoun St Cincinnati OH 45219,Cincinnati,['OH']
7,Hope Emergency Program,5333 Kernan Rd Lynchburg OH 45142,Lynchburg,['OH']
8,Grace Resurrection Community Center,433 E Water St Greenville OH 45331,Greenville,['OH']
9,Open Door Food Pantry,800 S Front St Hamilton OH 45011,Hamilton,['OH']
10,West Alexandria Food Bank,20 E South St West Alexandria OH 45381,West Alexandria,['OH']
11,Oxford Community Choice Pantry,400 W Withrow St Oxford OH 45056,Oxford,['OH']
12,Sem Food Pantry,6446 Beechmont Ave Cincinnati OH 45230,Cincinnati,['OH']
13,St Patricks Soup Kitchen,25 N Mulberry St Troy OH 45373,Troy,['OH']
14,New Richmond Food Pantry,102 Willow St New Richmond OH 45157,New Richmond,['OH']
15,Castine Area Food Bank,624 State Route 127 Arcanum OH 45304,Arcanum,['OH']
16,Milford Miami Ministry,844 State Route 131 Milford OH 45150,Milford,['OH']
17,Shared Harvest Food Bank,5901 Dixie Hwy Fairfield OH 45014,Fairfield,['OH']
18,Bcu Food Pantry,226 S Pike St New Carlisle OH 45344,New Carlisle,['OH']
19,Ironton Downtown Churches Food Pantry,120 N 5th St Ironton OH 45638,Ironton,['OH']
0,Christian Help Center,1703 E Highway 10 Grove OK 74344,Grove,['OK']
1,Kibois Food Bank,108 N Witte St Poteau OK 74953,Poteau,['OK']
2,Stilwell Food Pantry Acrc,110 S 2nd St Stilwell OK 74960,Stilwell,['OK']
3,The Urban Mission,3737 N Portland Ave Oklahoma City OK 73112,Oklahoma City,['OK']
4,Quick Serve,3111 S Mingo Rd Tulsa OK 74146,Tulsa,['OK']
